Series Name,Series Code,Country Name,Country Code,,
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2012,100540.0009
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2013,103819.9997
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2014,96449.99695
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2015,102129.9973
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2016,106589.9963
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2017,107510.0021
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2018,107690.0024
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,2019,113019.9966
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2012,78410.00366
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2013,83000
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2014,76559.99756
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2015,82230.00336
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2016,86489.99786
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2017,87069.99969
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2018,86610.00061
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,2019,91370.00275
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2012,12609.99966
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2013,11560.00042
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2014,10829.99992
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2015,10590.00015
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2016,10909.99985
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2017,11020.00046
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2018,11409.99985
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,2019,11590.00015
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2012,7670
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2013,7200
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2014,6800
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2015,6840
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2016,6510
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2017,6540
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2018,6590
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Chile,CHL,2019,6770
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Colombia,COL,2012,163949.9969
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Colombia,COL,2013,170899.9939
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Colombia,COL,2014,174360.0006
